airport_id,airport_name,airport_code,city,country
1,Chennai International Airport,MAA,Chennai,India
2,Indira Gandhi International Airport,DEL,Delhi,India
3,Chhatrapati Shivaji Airport,BOM,Mumbai,India
4,Kempegowda International Airport,BLR,Bangalore,India
5,Dubai International Airport,DXB,Dubai,UAE
6,Hamad International Airport,DOH,Doha,Qatar
7,Coimbatore International Airport,CJB,Coimbatore,India
8,Trichy International Airport,TRZ,Trichy,India
9,Cochin International Airport,COK,Kochi,India
10,Hyderabad International Airport,HYD,Hyderabad,India
