baggage_id,ticket_id,weight_kg,baggage_type
1,515,18.34,Cabin
2,123,5.15,Check-in
3,222,16.86,Cabin
4,986,22.77,Check-in
5,402,26.87,Check-in
6,1184,19.89,Cabin
7,910,28.27,Check-in
8,560,16.15,Cabin
9,539,26.32,Cabin
10,156,8.68,Check-in
11,338,6.34,Cabin
12,469,23.39,Cabin
13,701,10.7,Cabin
14,791,26.66,Check-in
15,945,18.85,Check-in
16,755,29.59,Check-in
17,635,8.2,Check-in
18,1032,13.11,Cabin
19,742,24.92,Cabin
20,97,5.79,Cabin
21,522,12.64,Cabin
22,585,21.31,Cabin
23,299,26.75,Check-in
24,229,8.5,Check-in
25,316,28.37,Cabin
26,585,24.24,Cabin
27,174,16.27,Cabin
28,423,11.07,Cabin
29,341,17.23,Check-in
30,393,26.69,Cabin
31,348,25.49,Cabin
32,725,22.86,Check-in
33,138,20.17,Cabin
34,506,25.67,Cabin
35,674,22.87,Check-in
36,68,14.67,Check-in
37,666,22.98,Check-in
38,547,20.6,Check-in
39,678,26.19,Cabin
40,25,5.89,Check-in
41,1055,6.73,Cabin
42,903,16.85,Cabin
43,1054,27.63,Cabin
44,708,29.72,Cabin
45,521,11.36,Cabin
46,536,11.55,Check-in
47,1089,10.26,Cabin
48,136,16.88,Check-in
49,923,22.61,Check-in
50,32,21.04,Cabin
51,494,21.09,Check-in
52,302,18.42,Cabin
53,1104,23.38,Cabin
54,1081,17.86,Check-in
55,125,12.65,Cabin
56,986,19.47,Check-in
57,982,7.62,Cabin
58,282,11.34,Check-in
59,75,25.26,Cabin
60,518,9.38,Check-in
61,418,25.79,Check-in
62,921,9.07,Check-in
63,488,19.2,Check-in
64,310,29.39,Cabin
65,62,14.8,Check-in
66,1161,10.25,Check-in
67,1059,26.67,Check-in
68,1184,18.93,Check-in
69,344,8.64,Check-in
70,240,5.37,Check-in
71,360,27.22,Check-in
72,130,22.29,Cabin
73,945,15.85,Check-in
74,93,27.75,Cabin
75,792,8.04,Check-in
76,606,9.73,Cabin
77,191,12.22,Check-in
78,1133,12.23,Cabin
79,500,21.03,Check-in
80,1046,23.88,Cabin
81,566,15.53,Check-in
82,400,12.87,Cabin
83,648,25.8,Check-in
84,72,5.09,Check-in
85,937,25.88,Cabin
86,374,5.09,Cabin
87,675,28.81,Cabin
88,897,25.85,Cabin
89,41,27.57,Check-in
90,893,15.82,Cabin
91,865,11.72,Check-in
92,27,27.62,Cabin
93,760,12.48,Check-in
94,185,22.6,Check-in
95,578,5.04,Cabin
96,1110,13.1,Cabin
97,551,24.31,Cabin
98,86,18.07,Check-in
99,753,24.33,Check-in
100,881,15.49,Check-in
101,603,18.85,Cabin
102,1095,23.14,Cabin
103,327,14.71,Cabin
104,32,18.2,Cabin
105,1143,18.89,Check-in
106,968,18.23,Cabin
107,149,14.1,Cabin
108,879,9.52,Cabin
109,159,19.23,Cabin
110,48,22.33,Check-in
111,260,5.56,Check-in
112,272,15.79,Cabin
113,931,26.23,Check-in
114,779,5.37,Check-in
115,1134,26.37,Cabin
116,286,28.52,Cabin
117,740,13.39,Cabin
118,242,16.51,Cabin
119,596,22.65,Check-in
120,1000,12.42,Check-in
121,153,7.41,Check-in
122,575,7.3,Cabin
123,283,15.89,Check-in
124,334,8.52,Cabin
125,685,17.81,Check-in
126,921,6.33,Cabin
127,751,11.66,Check-in
128,216,25.58,Cabin
129,602,14.32,Check-in
130,654,15.88,Check-in
131,6,26.12,Check-in
132,259,26.11,Cabin
133,1018,25.76,Check-in
134,102,6.58,Cabin
135,450,28.13,Cabin
136,840,11.88,Check-in
137,941,9.29,Check-in
138,571,26.19,Cabin
139,364,17.58,Cabin
140,574,5.13,Check-in
141,995,18.0,Check-in
142,330,22.22,Cabin
143,493,7.25,Cabin
144,149,14.74,Cabin
145,13,17.04,Check-in
146,720,28.57,Check-in
147,188,7.9,Cabin
148,3,20.26,Cabin
149,224,29.53,Check-in
150,646,9.65,Check-in
151,90,23.6,Check-in
152,903,6.33,Check-in
153,409,6.1,Cabin
154,146,25.24,Cabin
155,31,5.12,Cabin
156,526,27.65,Check-in
157,1033,19.35,Cabin
158,1151,22.78,Cabin
159,465,25.27,Check-in
160,1163,18.05,Cabin
161,1138,19.33,Cabin
162,706,8.29,Cabin
163,572,28.91,Check-in
164,847,25.91,Check-in
165,1055,28.14,Cabin
166,415,25.12,Check-in
167,437,27.54,Check-in
168,73,11.45,Check-in
169,315,13.79,Cabin
170,455,22.12,Check-in
171,960,27.31,Check-in
