flight_crew_id,schedule_id,crew_id
1,276,48
2,233,9
3,252,8
4,233,18
5,101,2
6,218,52
7,284,36
8,62,51
9,55,49
10,197,54
11,139,50
12,18,13
13,157,14
14,258,49
15,268,58
16,34,33
17,253,14
18,281,31
19,227,42
20,184,33
21,114,47
22,120,14
23,208,19
24,244,29
25,8,54
26,129,7
27,120,46
28,5,39
29,7,40
30,58,23
31,99,33
32,215,2
33,96,35
34,66,26
35,69,23
36,136,51
37,86,3
38,135,5
39,88,56
40,120,58
41,44,40
42,18,47
43,183,29
44,237,9
45,4,18
46,144,5
47,11,4
48,254,45
49,140,7
50,290,14
51,82,18
52,191,50
53,123,54
54,283,42
55,39,4
56,248,46
57,159,7
58,74,10
59,142,35
60,239,2
61,286,31
62,78,48
63,200,17
64,295,27
65,105,12
66,91,24
67,41,32
68,153,51
69,74,12
70,149,1
71,136,54
72,110,12
73,215,7
74,56,35
75,27,3
76,99,20
77,196,34
78,221,7
79,196,14
80,26,31
81,7,10
82,280,26
83,230,45
84,87,4
85,78,50
86,18,3
87,172,50
88,122,26
89,213,47
90,70,5
91,293,24
92,101,27
93,279,38
94,16,1
95,174,30
96,244,39
97,161,2
98,31,7
99,254,16
100,70,22
101,289,1
102,14,52
103,237,14
104,237,6
105,98,49
106,18,42
107,232,11
108,83,6
109,56,14
110,277,53
111,195,37
112,22,48
113,261,31
114,39,42
115,200,32
116,73,12
117,62,2
118,130,21
119,144,48
120,209,51
121,58,32
122,57,37
123,86,36
124,36,31
125,4,30
126,132,20
127,126,27
128,28,10
129,116,49
130,155,19
131,68,12
132,185,10
133,48,42
134,204,1
135,74,22
136,93,14
137,139,49
138,43,10
139,9,38
140,140,20
141,229,52
142,243,57
143,93,25
144,12,14
145,94,27
146,181,21
147,49,15
148,67,31
149,210,6
150,239,39
151,154,47
152,286,2
153,69,18
154,177,53
155,184,38
156,277,23
157,58,25
158,19,9
159,55,7
160,295,43
161,57,21
162,275,38
163,47,11
164,221,35
165,208,49
166,147,47
167,275,57
168,212,17
169,246,36
170,220,51
171,264,44
172,216,9
173,110,30
174,195,4
175,5,33
176,270,18
177,160,30
178,133,2
179,262,48
180,119,29
181,286,6
182,290,8
183,293,3
184,252,19
185,291,9
186,44,28
187,154,3
188,26,26
189,293,48
190,271,60
191,104,26
192,66,54
193,102,51
194,167,15
195,143,35
196,138,33
197,224,18
198,230,3
199,259,11
200,61,15
201,294,34
202,211,21
203,141,28
204,96,10
205,5,11
206,34,11
207,103,48
208,252,44
209,76,56
210,8,23
211,169,1
212,107,49
213,112,1
214,32,2
215,10,36
216,266,25
217,128,51
218,150,48
219,207,30
220,123,38
221,57,40
222,3,1
223,265,34
224,293,50
225,291,6
226,63,17
227,61,26
228,2,2
229,297,55
230,48,25
231,291,49
232,78,53
233,121,9
234,254,13
235,234,48
236,298,44
237,273,50
238,296,47
239,236,48
240,23,25
241,5,35
242,173,20
243,279,54
244,43,55
245,281,28
246,246,17
247,199,16
248,21,4
249,12,59
250,264,18
251,113,16
252,223,8
253,50,47
254,126,29
255,43,60
256,50,34
257,44,21
258,48,43
259,285,42
260,190,45
261,133,22
262,257,10
263,294,52
264,159,10
265,10,13
266,134,52
267,7,5
268,186,14
269,166,49
270,123,18
271,212,27
272,16,29
273,165,25
274,295,39
275,129,19
276,298,57
277,140,56
278,208,28
279,227,10
280,28,7
281,30,36
282,71,18
283,9,52
284,72,46
285,277,59
286,47,45
287,260,10
288,71,42
289,114,33
290,229,39
291,148,1
292,77,58
293,201,10
294,18,34
295,178,33
296,36,32
297,135,45
298,167,58
299,70,30
300,117,51
301,184,41
302,99,27
303,160,11
304,114,23
305,233,2
306,5,19
307,45,11
308,49,50
309,287,9
310,283,45
311,170,7
312,282,8
313,215,5
314,91,51
315,168,23
316,290,2
317,147,43
318,204,8
319,17,4
320,238,39
321,89,15
322,29,17
323,219,27
324,13,4
325,44,9
326,288,16
327,268,10
328,235,6
329,16,6
330,90,13
331,66,37
332,219,5
333,180,6
334,65,2
335,136,35
336,192,1
337,255,48
338,220,28
339,133,20
340,196,47
341,24,57
342,157,42
343,91,58
344,74,29
345,215,15
346,154,25
347,13,7
348,46,22
349,122,1
350,188,32
351,105,47
352,159,32
353,77,17
354,121,23
355,286,27
356,43,32
357,210,35
358,87,11
359,163,49
360,52,48
361,65,53
362,235,43
363,94,26
364,232,1
365,261,26
366,215,46
367,199,60
368,180,60
369,205,10
370,67,18
371,40,60
372,227,57
373,210,55
374,280,29
375,262,55
376,139,51
377,151,31
378,240,54
379,42,43
380,82,38
381,31,41
382,107,24
383,8,3
384,212,60
385,56,52
386,262,20
387,257,37
388,248,20
389,75,9
390,121,21
391,140,52
392,108,20
393,28,20
394,215,57
395,194,36
396,79,8
397,78,6
398,173,51
399,222,54
400,130,39
401,183,11
402,183,17
403,295,51
404,89,2
405,205,43
406,142,52
407,145,42
408,46,50
409,64,7
410,253,50
411,101,35
412,282,6
413,272,10
414,238,16
415,2,55
416,220,15
417,158,15
418,173,44
419,148,33
420,258,52
421,92,47
422,34,34
423,265,18
424,215,35
425,12,26
426,208,17
427,10,23
428,51,53
429,52,3
430,94,6
431,83,53
432,190,20
433,101,43
434,143,6
435,96,16
436,16,8
437,206,4
438,160,40
439,271,28
440,3,53
441,123,32
442,73,7
443,259,25
444,28,4
445,104,11
446,32,45
447,104,7
448,229,36
449,26,6
450,46,52
451,142,3
452,7,14
453,153,59
454,244,53
455,60,16
456,51,38
457,239,49
458,285,27
459,24,50
460,54,57
461,199,57
462,80,49
463,182,44
464,27,47
465,260,17
466,146,55
467,239,53
468,269,22
469,187,59
470,5,41
471,62,5
472,106,29
473,175,15
474,173,34
475,85,46
476,242,60
477,271,44
478,228,34
479,2,31
480,71,50
481,240,39
482,29,46
483,117,30
484,58,27
485,55,28
486,15,36
487,263,8
488,241,54
489,80,9
490,104,44
491,197,17
492,247,32
493,62,35
494,102,32
495,174,54
496,117,3
497,230,57
498,215,36
499,55,58
500,4,12
501,147,36
502,8,44
503,282,24
504,181,30
505,257,3
506,8,11
507,132,43
508,151,13
509,70,14
510,203,12
511,84,53
512,63,26
513,300,3
514,197,39
515,196,36
516,181,55
517,234,17
518,204,43
519,242,2
520,200,52
521,227,44
522,183,5
523,224,40
524,61,16
525,296,55
526,187,45
527,73,6
528,165,4
529,60,54
530,209,58
531,153,53
532,75,25
533,38,1
534,246,60
535,5,14
536,102,24
537,24,53
538,268,50
539,133,58
