payment_id,ticket_id,amount,payment_date,payment_mode,payment_status
1,1,5978.45,2026-07-11,Card,Paid
2,2,20180.75,2026-08-24,Card,Paid
3,3,6035.48,2026-08-03,NetBanking,Paid
4,4,20246.84,2026-08-19,Cash,Paid
5,5,8414.25,2026-08-29,Cash,Paid
6,6,9390.23,2026-08-16,Cash,Paid
7,7,9595.3,2026-07-20,NetBanking,Paid
8,8,19660.64,2026-07-01,NetBanking,Paid
9,9,11697.72,2026-08-11,Card,Refunded
10,10,19758.59,2026-07-02,Card,Paid
11,11,18625.14,2026-07-19,Cash,Paid
12,12,12118.71,2026-07-25,Cash,Paid
13,13,19127.88,2026-08-21,Card,Paid
14,14,12402.32,2026-07-18,UPI,Paid
15,15,6109.4,2026-08-16,NetBanking,Refunded
16,16,15841.16,2026-08-30,UPI,Paid
17,17,11276.42,2026-08-28,NetBanking,Paid
18,18,24705.91,2026-08-07,NetBanking,Paid
19,19,3762.58,2026-07-22,Cash,Paid
20,20,12357.8,2026-07-19,UPI,Paid
21,21,22319.12,2026-07-05,Cash,Refunded
22,22,18980.1,2026-08-22,Card,Pending
23,23,15770.69,2026-08-06,Card,Paid
24,24,12360.88,2026-07-21,Cash,Paid
25,25,20889.47,2026-08-14,UPI,Paid
26,26,19822.88,2026-08-25,Cash,Refunded
27,27,10627.67,2026-08-19,NetBanking,Paid
28,28,7333.29,2026-07-21,NetBanking,Paid
29,29,10649.59,2026-07-13,Cash,Paid
30,30,19322.13,2026-07-02,Card,Paid
31,31,11742.53,2026-07-26,NetBanking,Paid
32,32,21212.68,2026-07-04,Cash,Paid
33,33,12337.16,2026-07-03,Cash,Paid
34,34,13570.21,2026-08-06,Cash,Paid
35,35,19024.76,2026-08-06,UPI,Refunded
36,36,20063.23,2026-08-04,Card,Paid
37,37,21541.74,2026-07-06,NetBanking,Paid
38,38,24841.37,2026-08-18,UPI,Paid
39,39,12196.3,2026-07-18,NetBanking,Paid
40,40,22312.16,2026-08-17,Card,Paid
41,41,4143.08,2026-08-11,Cash,Paid
42,42,20075.04,2026-08-17,NetBanking,Pending
43,43,11532.99,2026-07-19,UPI,Paid
44,44,11273.82,2026-07-01,Card,Paid
45,45,5886.14,2026-08-24,Card,Paid
46,46,19775.02,2026-08-04,NetBanking,Paid
47,47,7007.46,2026-08-22,Cash,Pending
48,48,18585.35,2026-08-06,Card,Paid
49,49,5836.39,2026-07-20,Card,Paid
50,50,14502.0,2026-08-30,UPI,Paid
51,51,14651.72,2026-07-05,Cash,Pending
52,52,23390.47,2026-08-12,Card,Paid
53,53,6174.0,2026-07-18,Card,Refunded
54,54,7387.81,2026-07-23,UPI,Paid
