refund_id,cancellation_id,refund_amount,refund_date,refund_status
1,1,18930.57,2026-08-30,Completed
2,2,5469.0,2026-08-22,Rejected
3,3,15267.59,2026-08-15,Rejected
4,4,12314.0,2026-09-04,Rejected
5,5,9523.03,2026-07-19,Completed
6,6,2586.52,2026-08-07,Completed
7,7,14888.18,2026-08-13,Rejected
8,8,12893.25,2026-07-28,Rejected
9,9,10656.13,2026-08-31,Completed
10,10,19439.66,2026-09-07,Processing
11,11,17989.11,2026-07-29,Rejected
12,12,3626.57,2026-08-27,Completed
13,13,9574.54,2026-09-04,Processing
14,14,10916.98,2026-08-26,Completed
15,15,11850.66,2026-08-07,Rejected
16,16,8102.19,2026-09-07,Completed
17,17,11242.9,2026-07-13,Completed
18,18,5930.51,2026-07-12,Processing
19,19,10011.85,2026-08-09,Rejected
20,20,2780.24,2026-09-01,Completed
21,21,17000.26,2026-08-03,Rejected
22,22,2617.43,2026-08-17,Processing
23,23,2738.57,2026-08-20,Rejected
24,24,2596.62,2026-07-20,Rejected
25,25,17928.81,2026-08-22,Rejected
26,26,6137.91,2026-07-20,Rejected
27,27,13737.83,2026-08-14,Rejected
28,28,3858.3,2026-08-25,Processing
29,29,11993.32,2026-08-21,Processing
30,30,13627.09,2026-07-13,Processing
31,31,1819.56,2026-08-01,Completed
32,32,14554.26,2026-07-26,Completed
33,33,16012.22,2026-08-06,Completed
34,34,7737.59,2026-07-12,Processing
35,35,18092.15,2026-08-20,Completed
36,36,4363.56,2026-07-28,Rejected
37,37,17981.49,2026-08-23,Rejected
38,38,11605.56,2026-07-31,Rejected
39,39,8170.35,2026-07-16,Processing
40,40,12039.64,2026-09-02,Rejected
41,41,13730.54,2026-08-04,Completed
42,42,6564.15,2026-07-12,Rejected
43,43,18598.31,2026-08-23,Rejected
44,44,6377.76,2026-08-18,Processing
45,45,8290.88,2026-07-25,Rejected
46,46,6031.8,2026-08-18,Processing
47,47,1486.8,2026-08-07,Rejected
48,48,6935.48,2026-07-14,Processing
49,49,1220.69,2026-08-14,Processing
50,50,2941.98,2026-07-19,Completed
51,51,19643.3,2026-08-01,Rejected
52,52,15440.94,2026-08-31,Rejected
53,53,8725.99,2026-08-13,Rejected
54,54,3376.1,2026-08-11,Rejected
55,55,19242.93,2026-08-28,Completed
56,56,6052.45,2026-08-04,Rejected
57,57,14237.07,2026-07-24,Rejected
58,58,1780.67,2026-08-06,Completed
59,59,19715.24,2026-08-04,Processing
60,60,3875.44,2026-08-27,Rejected
61,61,9458.31,2026-08-15,Completed
62,62,9073.37,2026-08-18,Completed
63,63,2694.46,2026-07-14,Completed
64,64,19975.51,2026-07-17,Rejected
65,65,18025.13,2026-08-25,Completed
66,66,7797.2,2026-08-27,Rejected
67,67,13161.84,2026-07-20,Completed
68,68,14579.96,2026-07-16,Completed
69,69,5053.53,2026-08-25,Processing
70,70,17994.41,2026-07-31,Completed
71,71,19639.24,2026-07-12,Processing
72,72,7103.13,2026-08-11,Completed
73,73,8611.56,2026-08-28,Rejected
74,74,1416.69,2026-07-20,Processing
75,75,18222.15,2026-07-27,Processing
76,76,10416.25,2026-07-26,Completed
77,77,12709.31,2026-08-06,Processing
78,78,13355.43,2026-09-03,Completed
79,79,14243.28,2026-07-27,Completed
80,80,15966.26,2026-08-05,Processing
81,81,17057.43,2026-08-09,Rejected
82,82,10200.55,2026-09-06,Rejected
83,83,2241.34,2026-08-12,Completed
84,84,14303.7,2026-08-17,Rejected
85,85,11891.46,2026-08-13,Rejected
86,86,1794.79,2026-08-13,Rejected
87,87,1054.18,2026-08-04,Processing
88,88,16833.23,2026-07-19,Completed
89,89,6158.47,2026-08-07,Processing
90,90,8860.29,2026-09-02,Completed
91,91,15958.26,2026-09-01,Processing
92,92,12828.4,2026-09-06,Processing
93,93,12905.21,2026-09-08,Processing
94,94,11372.39,2026-08-18,Rejected
95,95,11229.67,2026-08-30,Completed
96,96,14278.73,2026-08-16,Processing
97,97,14233.11,2026-08-14,Processing
98,98,6920.7,2026-08-11,Processing
99,99,11777.21,2026-08-23,Completed
100,100,7219.21,2026-08-16,Processing
101,101,19599.03,2026-08-30,Rejected
102,102,1936.71,2026-07-17,Rejected
103,103,3560.59,2026-08-17,Rejected
104,104,4431.05,2026-09-02,Rejected
105,105,15839.87,2026-08-02,Completed
106,106,14242.83,2026-08-03,Rejected
107,107,1845.28,2026-07-17,Completed
108,108,10015.14,2026-08-06,Rejected
109,109,14835.76,2026-07-24,Rejected
110,110,11218.53,2026-08-28,Rejected
111,111,16342.57,2026-07-23,Processing
112,112,6973.37,2026-08-05,Rejected
113,113,13304.75,2026-07-16,Rejected
114,114,12006.11,2026-07-30,Processing
115,115,12390.38,2026-08-03,Processing
116,116,1145.89,2026-07-11,Rejected
117,117,13465.22,2026-08-15,Processing
118,118,16332.88,2026-07-29,Rejected
119,119,19454.22,2026-07-26,Completed
120,120,1892.21,2026-09-06,Processing
121,121,19974.16,2026-08-22,Processing
122,122,15924.83,2026-08-26,Rejected
123,123,12654.42,2026-08-06,Processing
124,124,8798.75,2026-07-30,Processing
125,125,5980.49,2026-07-10,Processing
126,126,6980.2,2026-09-03,Processing
127,127,10310.56,2026-08-07,Processing
128,128,11212.84,2026-07-11,Rejected
