seat_booking_id,booking_id,seat_id
1,1,56
2,2,164
3,3,96
4,4,118
5,5,21
6,6,225
7,7,186
8,8,64
9,9,79
10,10,215
11,11,175
12,12,165
13,13,231
14,14,222
15,15,49
16,16,192
17,17,194
18,18,189
19,19,34
20,20,80
21,21,14
22,22,98
23,23,181
24,24,74
25,25,46
26,26,72
27,27,36
28,28,145
29,29,81
30,30,106
31,31,58
32,32,214
33,33,49
34,34,70
35,35,227
36,36,52
37,37,46
38,38,76
39,39,67
40,40,179
41,41,113
42,42,68
43,43,24
44,44,126
45,45,91
46,46,149
47,47,94
48,48,90
49,49,198
50,50,165
51,51,134
52,52,116
53,53,213
54,54,162
55,55,176
56,56,213
57,57,44
58,58,10
59,59,214
60,60,150
61,61,99
62,62,40
63,63,138
64,64,146
65,65,54
66,66,180
67,67,112
68,68,89
69,69,166
70,70,208
71,71,175
72,72,204
73,73,74
74,74,54
75,75,88
76,76,180
77,77,129
78,78,142
79,79,213
80,80,191
81,81,204
82,82,69
83,83,24
84,84,132
85,85,198
86,86,54
87,87,67
88,88,56
89,89,120
90,90,67
91,91,9
92,92,237
93,93,30
94,94,133
95,95,169
96,96,162
97,97,48
98,98,122
99,99,36
100,100,120
101,101,151
102,102,83
103,103,96
104,104,145
105,105,97
106,106,169
107,107,151
108,108,231
109,109,9
110,110,83
111,111,180
112,112,27
113,113,162
114,114,92
115,115,223
116,116,231
117,117,3
118,118,41
119,119,108
120,120,122
121,121,86
122,122,87
123,123,166
124,124,232
125,125,26
126,126,48
127,127,234
128,128,92
129,129,79
130,130,42
131,131,120
132,132,140
133,133,48
134,134,193
135,135,6
136,136,113
137,137,208
138,138,158
139,139,117
140,140,152
141,141,148
142,142,178
143,143,112
144,144,188
145,145,103
146,146,122
147,147,214
148,148,63
149,149,65
150,150,186
151,151,96
152,152,154
153,153,87
154,154,124
155,155,174
156,156,103
157,157,77
158,158,11
159,159,238
160,160,225
161,161,60
162,162,196
163,163,240
164,164,231
165,165,238
166,166,130
167,167,28
168,168,108
169,169,110
170,170,199
171,171,69
172,172,148
173,173,103
174,174,152
175,175,8
176,176,42
177,177,132
178,178,43
179,179,237
180,180,77
181,181,227
182,182,153
183,183,179
184,184,135
185,185,51
186,186,146
187,187,193
188,188,36
189,189,34
190,190,170
191,191,86
192,192,202
193,193,14
194,194,24
195,195,80
196,196,203
197,197,197
198,198,37
199,199,206
200,200,89
201,201,118
202,202,102
203,203,43
204,204,118
205,205,1
206,206,169
207,207,38
208,208,52
209,209,227
210,210,45
211,211,78
212,212,79
213,213,21
214,214,48
215,215,61
216,216,220
217,217,53
218,218,112
219,219,24
220,220,186
221,221,63
222,222,40
223,223,176
224,224,143
225,225,217
226,226,199
227,227,96
228,228,2
229,229,123
230,230,41
231,231,89
232,232,26
233,233,121
234,234,141
235,235,176
236,236,101
237,237,179
238,238,55
239,239,234
240,240,121
241,241,172
242,242,97
243,243,213
244,244,119
245,245,181
246,246,63
247,247,196
248,248,235
249,249,25
250,250,100
251,251,33
252,252,82
253,253,196
254,254,240
255,255,35
256,256,103
257,257,198
258,258,84
259,259,230
260,260,73
261,261,210
262,262,173
263,263,187
264,264,224
265,265,109
266,266,153
267,267,101
268,268,137
269,269,19
270,270,89
271,271,126
272,272,172
273,273,190
274,274,151
275,275,7
276,276,57
277,277,227
278,278,156
279,279,46
280,280,197
281,281,61
282,282,95
283,283,93
284,284,88
285,285,129
286,286,211
287,287,1
288,288,157
289,289,154
290,290,193
291,291,102
292,292,235
293,293,20
294,294,166
295,295,59
296,296,36
297,297,128
298,298,49
299,299,12
300,300,55
301,301,78
302,302,112
303,303,24
304,304,87
305,305,99
306,306,168
307,307,47
308,308,109
309,309,39
310,310,73
311,311,80
312,312,100
313,313,173
314,314,211
315,315,124
316,316,9
317,317,67
318,318,108
319,319,46
320,320,42
321,321,102
322,322,175
323,323,133
324,324,214
325,325,28
326,326,120
327,327,207
328,328,22
329,329,89
330,330,176
331,331,188
332,332,26
333,333,168
334,334,221
335,335,104
336,336,206
337,337,207
338,338,4
339,339,42
340,340,82
341,341,33
342,342,148
343,343,130
344,344,99
345,345,176
346,346,117
347,347,3
348,348,125
349,349,168
350,350,172
351,351,103
352,352,109
353,353,198
354,354,14
355,355,78
356,356,109
357,357,67
358,358,190
359,359,163
360,360,30
361,361,155
362,362,207
363,363,206
364,364,233
365,365,116
366,366,129
367,367,96
368,368,200
369,369,122
370,370,183
371,371,86
372,372,217
373,373,137
374,374,94
375,375,29
376,376,202
377,377,46
378,378,109
379,379,137
380,380,195
381,381,99
382,382,223
383,383,173
384,384,21
385,385,39
386,386,2
387,387,87
388,388,240
389,389,182
390,390,152
391,391,67
392,392,51
393,393,132
394,394,209
395,395,158
396,396,187
397,397,224
398,398,117
399,399,112
400,400,13
401,401,119
402,402,73
403,403,11
404,404,32
405,405,223
406,406,126
407,407,118
408,408,94
409,409,13
410,410,228
411,411,154
412,412,176
413,413,95
414,414,65
415,415,109
416,416,87
417,417,173
418,418,76
419,419,197
420,420,210
421,421,7
422,422,139
423,423,69
424,424,46
425,425,76
426,426,92
427,427,107
428,428,5
429,429,115
430,430,84
431,431,77
432,432,163
433,433,10
434,434,153
435,435,29
436,436,92
437,437,188
438,438,10
439,439,137
440,440,190
441,441,102
442,442,64
443,443,45
444,444,22
445,445,137
446,446,25
447,447,33
448,448,187
449,449,38
450,450,163
451,451,127
452,452,111
453,453,229
454,454,71
455,455,89
456,456,118
457,457,177
458,458,159
459,459,63
460,460,236
461,461,212
462,462,232
463,463,214
464,464,239
465,465,188
466,466,211
467,467,135
468,468,146
469,469,118
470,470,11
471,471,20
472,472,84
473,473,96
474,474,10
475,475,38
476,476,156
477,477,186
478,478,164
479,479,208
480,480,226
481,481,26
482,482,98
483,483,132
484,484,186
485,485,21
486,486,87
487,487,238
488,488,164
489,489,192
490,490,78
491,491,109
492,492,103
493,493,6
494,494,48
495,495,192
496,496,66
497,497,185
498,498,168
499,499,191
500,500,227
501,501,21
502,502,215
503,503,234
504,504,111
505,505,30
506,506,204
507,507,50
508,508,147
509,509,67
510,510,78
511,511,158
512,512,132
513,513,139
514,514,219
515,515,204
516,516,63
517,517,178
518,518,205
519,519,13
520,520,96
521,521,147
522,522,122
523,523,56
524,524,195
525,525,240
526,526,112
527,527,71
528,528,192
529,529,177
530,530,200
531,531,48
532,532,71
533,533,129
534,534,172
535,535,12
536,536,155
537,537,103
538,538,233
539,539,47
540,540,174
541,541,73
542,542,70
543,543,2
544,544,105
545,545,54
546,546,5
547,547,201
548,548,107
549,549,169
550,550,34
551,551,71
552,552,69
553,553,119
554,554,154
555,555,203
556,556,163
557,557,82
558,558,25
559,559,57
560,560,58
561,561,5
562,562,182
563,563,84
564,564,57
565,565,17
566,566,157
567,567,74
568,568,187
569,569,183
570,570,156
571,571,212
572,572,118
573,573,151
574,574,108
575,575,163
576,576,153
577,577,85
578,578,139
579,579,100
580,580,122
581,581,239
582,582,143
583,583,4
584,584,88
585,585,88
586,586,82
587,587,89
588,588,211
589,589,114
590,590,39
591,591,119
592,592,219
593,593,191
594,594,128
595,595,54
596,596,137
597,597,179
598,598,44
599,599,173
600,600,100
601,601,66
602,602,104
603,603,9
604,604,170
605,605,219
606,606,147
607,607,21
608,608,162
609,609,125
610,610,144
611,611,89
612,612,22
613,613,54
614,614,192
615,615,136
616,616,95
617,617,78
618,618,75
619,619,193
620,620,81
621,621,116
622,622,173
623,623,120
624,624,8
625,625,40
626,626,160
627,627,150
628,628,43
629,629,160
630,630,91
631,631,145
632,632,111
633,633,107
634,634,196
635,635,6
636,636,193
637,637,73
638,638,143
639,639,191
640,640,126
641,641,61
642,642,97
643,643,236
644,644,138
645,645,34
646,646,97
647,647,156
648,648,218
649,649,32
650,650,25
651,651,102
652,652,56
653,653,55
654,654,29
655,655,147
656,656,75
657,657,46
658,658,222
659,659,41
660,660,197
661,661,200
662,662,189
663,663,103
664,664,141
665,665,105
666,666,91
667,667,193
668,668,56
669,669,108
670,670,231
671,671,154
672,672,72
673,673,82
674,674,198
675,675,93
676,676,162
677,677,28
678,678,171
679,679,227
680,680,176
681,681,163
682,682,196
683,683,163
684,684,82
685,685,129
686,686,138
687,687,137
688,688,101
689,689,58
690,690,220
691,691,104
692,692,127
693,693,194
694,694,119
695,695,74
696,696,212
697,697,237
698,698,116
699,699,41
700,700,237
701,701,224
702,702,46
703,703,103
704,704,74
705,705,1
706,706,137
707,707,213
708,708,86
709,709,196
710,710,119
711,711,168
712,712,45
713,713,175
714,714,233
715,715,26
716,716,99
717,717,149
718,718,168
719,719,108
720,720,108
721,721,106
722,722,49
723,723,163
724,724,8
725,725,159
726,726,58
727,727,36
728,728,157
729,729,159
730,730,129
731,731,21
732,732,154
733,733,147
734,734,188
735,735,105
736,736,6
737,737,84
738,738,157
739,739,64
740,740,43
741,741,146
742,742,161
743,743,121
744,744,176
745,745,24
746,746,95
747,747,6
748,748,191
749,749,154
750,750,227
751,751,203
752,752,168
753,753,100
754,754,142
755,755,131
756,756,222
757,757,50
758,758,218
759,759,234
760,760,42
761,761,118
762,762,95
763,763,186
764,764,224
765,765,62
766,766,45
767,767,121
768,768,240
769,769,183
770,770,236
771,771,52
772,772,83
773,773,34
774,774,76
775,775,17
776,776,229
777,777,8
778,778,53
779,779,148
780,780,119
781,781,118
782,782,63
783,783,176
784,784,155
785,785,114
786,786,62
787,787,204
788,788,46
789,789,119
790,790,129
791,791,165
792,792,29
793,793,206
794,794,155
795,795,215
796,796,85
797,797,224
798,798,236
799,799,233
800,800,41
801,801,63
802,802,119
803,803,185
804,804,18
805,805,2
806,806,192
807,807,9
808,808,175
809,809,174
810,810,105
811,811,222
812,812,134
813,813,121
814,814,221
815,815,99
816,816,19
817,817,201
818,818,107
819,819,67
820,820,227
821,821,184
822,822,138
823,823,31
824,824,184
825,825,199
826,826,156
827,827,166
828,828,137
829,829,183
830,830,7
831,831,113
832,832,124
833,833,212
834,834,186
835,835,16
836,836,75
837,837,208
838,838,102
839,839,213
840,840,211
841,841,186
842,842,197
843,843,11
844,844,94
845,845,103
846,846,184
847,847,238
848,848,131
849,849,162
850,850,167
851,851,113
852,852,110
853,853,202
854,854,32
855,855,27
856,856,38
857,857,217
858,858,68
859,859,195
860,860,212
861,861,149
862,862,193
863,863,203
864,864,29
865,865,185
866,866,44
867,867,94
868,868,106
869,869,169
870,870,87
871,871,37
872,872,234
873,873,63
874,874,204
875,875,124
876,876,54
877,877,68
878,878,25
879,879,85
880,880,165
881,881,178
882,882,19
883,883,118
884,884,231
885,885,182
886,886,126
887,887,193
888,888,63
889,889,194
890,890,67
891,891,88
892,892,76
893,893,177
894,894,114
895,895,85
896,896,202
897,897,116
898,898,180
899,899,67
900,900,146
901,901,71
902,902,153
903,903,10
904,904,195
905,905,36
906,906,38
907,907,134
908,908,74
909,909,7
910,910,57
911,911,226
912,912,95
913,913,145
914,914,93
915,915,183
916,916,75
917,917,79
918,918,184
919,919,41
920,920,146
921,921,163
922,922,79
923,923,122
924,924,183
925,925,113
926,926,173
927,927,76
928,928,40
929,929,191
930,930,207
931,931,178
932,932,33
933,933,38
934,934,156
935,935,75
936,936,220
937,937,99
938,938,66
939,939,164
940,940,59
941,941,8
942,942,218
943,943,55
944,944,150
945,945,78
946,946,38
947,947,150
948,948,4
949,949,67
950,950,94
951,951,185
