seat_id,aircraft_id,seat_number,class_id
1,1,12F,1
2,1,6F,3
3,1,21F,1
4,1,5E,1
5,1,58C,2
6,1,46F,3
7,1,41B,2
8,1,33B,1
9,1,13B,1
10,1,32A,1
11,1,37C,1
12,1,36B,1
13,1,6A,1
14,1,46F,1
15,1,27D,2
16,1,5B,3
17,1,42A,1
18,1,44E,1
19,1,57E,1
20,1,12B,1
21,2,59A,2
22,2,34B,1
23,2,11C,3
24,2,15C,3
25,2,34C,2
26,2,17B,1
27,2,36C,1
28,2,20E,1
29,2,33F,1
30,2,38B,1
31,2,40F,3
32,2,22E,1
33,2,56A,1
34,2,42E,1
35,2,14E,1
36,2,41A,1
37,2,41E,1
38,2,20D,1
39,2,52F,1
40,2,30A,1
41,3,11D,1
42,3,30B,1
43,3,10C,2
44,3,21F,3
45,3,23D,1
46,3,24E,1
47,3,21B,1
48,3,18D,1
49,3,7A,1
50,3,25E,1
51,3,56B,2
52,3,60E,2
53,3,13B,1
54,3,33D,1
55,3,20D,1
56,3,26E,1
57,3,16B,1
58,3,4A,1
59,3,39F,1
60,3,19E,1
61,4,7D,1
62,4,17F,1
63,4,26C,1
64,4,4E,1
65,4,24E,1
66,4,25E,1
67,4,36C,2
68,4,40F,1
69,4,9A,1
70,4,51C,1
71,4,24B,1
72,4,33D,1
73,4,3A,1
74,4,22D,1
75,4,10E,2
76,4,9C,3
77,4,21B,1
78,4,40F,2
79,4,38C,1
80,4,33E,1
81,5,37C,1
82,5,2C,1
83,5,8D,1
84,5,51F,2
85,5,41A,1
86,5,17F,2
87,5,50E,1
88,5,47A,1
89,5,11E,1
90,5,40D,1
91,5,44B,1
92,5,45A,1
93,5,29C,1
94,5,27F,1
95,5,33E,3
96,5,56F,2
97,5,46B,1
98,5,36C,3
99,5,31E,1
100,5,12D,3
101,6,22E,1
102,6,50F,1
103,6,52F,1
104,6,31B,3
105,6,18E,1
106,6,20C,2
107,6,45F,1
108,6,31C,1
109,6,60F,1
110,6,8E,1
111,6,25D,2
112,6,50B,1
113,6,19F,1
114,6,60D,1
115,6,48D,1
116,6,53E,1
117,6,36F,1
118,6,7E,2
119,6,16B,1
120,6,58E,1
121,7,15A,1
122,7,22F,1
123,7,44B,1
124,7,36B,1
125,7,60D,1
126,7,13C,1
127,7,42A,3
128,7,6F,1
129,7,35F,2
130,7,60A,3
131,7,12D,2
132,7,12A,3
133,7,26D,1
134,7,48C,2
135,7,1C,1
136,7,7C,1
137,7,42E,1
138,7,57B,2
139,7,30C,1
140,7,8C,1
141,8,30F,1
142,8,12A,2
143,8,51C,1
144,8,49B,1
145,8,55F,2
146,8,53D,1
147,8,6D,1
148,8,12B,1
149,8,60B,1
150,8,25B,1
151,8,18C,1
152,8,47E,1
153,8,42C,1
154,8,4F,1
155,8,20B,1
156,8,33F,2
157,8,45A,1
158,8,19C,1
159,8,15B,1
160,8,30F,3
161,9,24D,2
162,9,59D,2
163,9,52F,2
164,9,49B,1
165,9,39A,1
166,9,34F,1
167,9,59E,1
168,9,54E,3
169,9,13E,1
170,9,11C,2
171,9,29A,1
172,9,46E,1
173,9,58E,1
174,9,4D,1
175,9,27D,1
176,9,36D,1
177,9,20F,1
178,9,17A,2
179,9,38A,1
180,9,23F,1
181,10,4A,3
182,10,31A,1
183,10,12B,2
184,10,47F,3
185,10,24D,1
186,10,59D,1
187,10,44F,2
188,10,9F,2
189,10,8B,3
190,10,26E,1
191,10,15A,2
192,10,20D,1
193,10,35D,1
194,10,53B,1
195,10,23B,1
196,10,60F,2
197,10,3F,1
198,10,50A,1
199,10,5A,1
200,10,29E,1
201,11,56A,1
202,11,3D,1
203,11,35B,2
204,11,50A,1
205,11,19B,2
206,11,47E,1
207,11,39F,2
208,11,16C,2
209,11,43E,1
210,11,20C,1
211,11,38F,3
212,11,41F,1
213,11,32A,3
214,11,42F,1
215,11,34C,1
216,11,27B,1
217,11,12E,1
218,11,55B,1
219,11,46B,2
220,11,59A,1
221,12,27E,1
222,12,25B,1
223,12,22F,1
224,12,29C,1
225,12,47B,1
226,12,25F,1
227,12,3A,1
228,12,49E,2
229,12,36B,1
230,12,56C,1
231,12,59A,1
232,12,13F,1
233,12,49D,3
234,12,45E,2
235,12,26B,1
236,12,50C,1
237,12,35F,1
238,12,17C,1
239,12,32D,1
240,12,47D,2
