ticket_id,booking_id,ticket_number,fare_amount,issue_date
1,1,TCK10000,17864.65,2026-07-16
2,2,TCK10001,7198.46,2026-08-09
3,3,TCK10002,16154.73,2026-07-10
4,4,TCK10003,15255.27,2026-08-01
5,5,TCK10004,4691.64,2026-07-01
6,6,TCK10005,5709.01,2026-08-25
7,7,TCK10006,9464.7,2026-08-25
8,8,TCK10007,24301.31,2026-08-20
9,9,TCK10008,22640.53,2026-08-01
10,10,TCK10009,4617.56,2026-07-21
11,11,TCK10010,6318.65,2026-07-19
12,12,TCK10011,6133.13,2026-07-18
13,13,TCK10012,15471.51,2026-07-23
14,14,TCK10013,4507.66,2026-07-12
15,15,TCK10014,18489.74,2026-07-30
16,16,TCK10015,8303.74,2026-07-31
17,17,TCK10016,24515.88,2026-08-18
18,18,TCK10017,22224.8,2026-08-11
19,19,TCK10018,23293.62,2026-08-30
20,20,TCK10019,5289.24,2026-08-06
21,21,TCK10020,13485.83,2026-07-24
22,22,TCK10021,21827.57,2026-07-26
23,23,TCK10022,11703.25,2026-08-09
24,24,TCK10023,23135.65,2026-07-09
25,25,TCK10024,12418.62,2026-08-02
26,26,TCK10025,21508.8,2026-08-30
27,27,TCK10026,9557.02,2026-07-06
28,28,TCK10027,17849.52,2026-08-02
29,29,TCK10028,12627.08,2026-08-26
30,30,TCK10029,22199.57,2026-08-13
31,31,TCK10030,3460.2,2026-08-11
32,32,TCK10031,3783.82,2026-08-20
33,33,TCK10032,8008.38,2026-08-22
34,34,TCK10033,15118.01,2026-07-10
35,35,TCK10034,21693.85,2026-07-19
36,36,TCK10035,10955.99,2026-08-06
37,37,TCK10036,11483.81,2026-07-05
38,38,TCK10037,7518.65,2026-08-25
39,39,TCK10038,12901.27,2026-07-06
40,40,TCK10039,10351.1,2026-07-30
41,41,TCK10040,16955.9,2026-08-27
42,42,TCK10041,20911.52,2026-07-07
43,43,TCK10042,4431.01,2026-08-16
44,44,TCK10043,4937.84,2026-08-29
45,45,TCK10044,11431.26,2026-07-28
46,46,TCK10045,6988.1,2026-07-22
47,47,TCK10046,3950.61,2026-07-22
48,48,TCK10047,24919.86,2026-08-01
49,49,TCK10048,7284.29,2026-08-17
50,50,TCK10049,13214.94,2026-07-18
51,51,TCK10050,12728.02,2026-08-04
52,52,TCK10051,6004.18,2026-07-31
53,53,TCK10052,5774.06,2026-07-14
54,54,TCK10053,9704.2,2026-07-03
55,55,TCK10054,24725.74,2026-08-19
56,56,TCK10055,11056.41,2026-08-29
57,57,TCK10056,20692.01,2026-08-20
58,58,TCK10057,12177.47,2026-07-31
59,59,TCK10058,7301.97,2026-07-14
60,60,TCK10059,22030.46,2026-08-30
61,61,TCK10060,19568.87,2026-07-28
62,62,TCK10061,8571.58,2026-08-10
63,63,TCK10062,6462.38,2026-07-10
64,64,TCK10063,4058.33,2026-07-26
65,65,TCK10064,4338.46,2026-08-25
66,66,TCK10065,18524.65,2026-08-25
67,67,TCK10066,11943.74,2026-07-14
68,68,TCK10067,17567.0,2026-07-17
69,69,TCK10068,6641.76,2026-07-04
70,70,TCK10069,4579.93,2026-08-27
71,71,TCK10070,12142.02,2026-08-18
72,72,TCK10071,9180.36,2026-07-13
73,73,TCK10072,10358.72,2026-07-27
74,74,TCK10073,13336.57,2026-08-04
75,75,TCK10074,17998.69,2026-07-11
76,76,TCK10075,24225.77,2026-07-28
77,77,TCK10076,10480.58,2026-08-14
78,78,TCK10077,15332.13,2026-08-22
79,79,TCK10078,2723.46,2026-08-20
80,80,TCK10079,22610.03,2026-07-13
81,81,TCK10080,4250.7,2026-08-12
82,82,TCK10081,15516.01,2026-07-10
83,83,TCK10082,9783.98,2026-08-22
84,84,TCK10083,23626.8,2026-08-17
85,85,TCK10084,21067.79,2026-08-16
86,86,TCK10085,9621.59,2026-07-10
87,87,TCK10086,22671.28,2026-08-29
88,88,TCK10087,5818.45,2026-08-25
89,89,TCK10088,9619.18,2026-08-20
90,90,TCK10089,24324.46,2026-07-27
91,91,TCK10090,8413.06,2026-08-16
92,92,TCK10091,2582.73,2026-07-29
93,93,TCK10092,23724.78,2026-08-24
94,94,TCK10093,5328.64,2026-07-29
95,95,TCK10094,16875.62,2026-08-07
96,96,TCK10095,4692.54,2026-07-14
97,97,TCK10096,19278.42,2026-07-13
98,98,TCK10097,11953.96,2026-08-04
99,99,TCK10098,19923.65,2026-08-08
100,100,TCK10099,10995.02,2026-07-23
101,101,TCK10100,7219.67,2026-07-13
102,102,TCK10101,24364.25,2026-08-06
103,103,TCK10102,23989.85,2026-07-24
104,104,TCK10103,20810.04,2026-07-02
105,105,TCK10104,9293.75,2026-07-20
106,106,TCK10105,13796.92,2026-08-25
107,107,TCK10106,5306.77,2026-08-01
108,108,TCK10107,17100.51,2026-07-30
109,109,TCK10108,11816.21,2026-07-23
110,110,TCK10109,10424.75,2026-08-04
111,111,TCK10110,12081.61,2026-08-18
112,112,TCK10111,10056.1,2026-08-29
113,113,TCK10112,6455.81,2026-07-28
114,114,TCK10113,10895.23,2026-08-05
115,115,TCK10114,15885.07,2026-08-04
116,116,TCK10115,12307.21,2026-07-19
117,117,TCK10116,21514.56,2026-08-14
118,118,TCK10117,17806.34,2026-08-10
119,119,TCK10118,8873.09,2026-08-09
120,120,TCK10119,23602.78,2026-08-27
121,121,TCK10120,21782.44,2026-07-06
122,122,TCK10121,20633.64,2026-07-07
123,123,TCK10122,4516.85,2026-07-02
124,124,TCK10123,16365.86,2026-07-27
125,125,TCK10124,4832.69,2026-08-17
126,126,TCK10125,19413.85,2026-08-29
127,127,TCK10126,14756.51,2026-08-10
128,128,TCK10127,12492.33,2026-08-07
129,129,TCK10128,20632.09,2026-08-12
130,130,TCK10129,9022.85,2026-07-27
131,131,TCK10130,7267.1,2026-08-19
132,132,TCK10131,12729.17,2026-07-25
133,133,TCK10132,5076.27,2026-08-24
134,134,TCK10133,13065.42,2026-07-08
135,135,TCK10134,10388.81,2026-08-20
136,136,TCK10135,23065.66,2026-07-27
137,137,TCK10136,22929.86,2026-08-11
138,138,TCK10137,18336.29,2026-08-17
139,139,TCK10138,11405.69,2026-08-30
140,140,TCK10139,10929.49,2026-07-15
141,141,TCK10140,13920.12,2026-07-18
142,142,TCK10141,22291.16,2026-07-17
143,143,TCK10142,9416.43,2026-08-27
144,144,TCK10143,20390.61,2026-07-27
145,145,TCK10144,17649.27,2026-07-01
146,146,TCK10145,22754.21,2026-07-27
147,147,TCK10146,3235.18,2026-07-02
148,148,TCK10147,5950.95,2026-07-24
149,149,TCK10148,21417.32,2026-08-03
150,150,TCK10149,20950.77,2026-08-08
151,151,TCK10150,9643.1,2026-07-11
152,152,TCK10151,24081.11,2026-07-28
153,153,TCK10152,7941.2,2026-07-26
154,154,TCK10153,6834.86,2026-08-11
155,155,TCK10154,11349.65,2026-07-04
156,156,TCK10155,20529.96,2026-08-06
157,157,TCK10156,12154.8,2026-08-30
158,158,TCK10157,16816.15,2026-08-16
159,159,TCK10158,6408.64,2026-08-27
160,160,TCK10159,9657.81,2026-07-11
161,161,TCK10160,12341.54,2026-07-07
162,162,TCK10161,18475.56,2026-07-09
163,163,TCK10162,13845.78,2026-08-10
164,164,TCK10163,15481.01,2026-07-26
165,165,TCK10164,21468.19,2026-08-10
166,166,TCK10165,23124.97,2026-08-23
167,167,TCK10166,14940.37,2026-08-30
168,168,TCK10167,9754.1,2026-07-06
169,169,TCK10168,4598.47,2026-07-28
170,170,TCK10169,2759.61,2026-08-19
171,171,TCK10170,15848.98,2026-07-02
172,172,TCK10171,16407.24,2026-08-04
173,173,TCK10172,23213.37,2026-07-06
174,174,TCK10173,15365.36,2026-07-02
175,175,TCK10174,19202.64,2026-07-09
176,176,TCK10175,24626.82,2026-08-10
177,177,TCK10176,16708.79,2026-07-23
178,178,TCK10177,6697.49,2026-08-11
179,179,TCK10178,22702.96,2026-07-20
180,180,TCK10179,6861.15,2026-08-23
181,181,TCK10180,8018.22,2026-08-19
182,182,TCK10181,20659.69,2026-07-25
183,183,TCK10182,19833.81,2026-08-12
184,184,TCK10183,3664.35,2026-07-06
185,185,TCK10184,23536.96,2026-08-10
186,186,TCK10185,3020.67,2026-08-07
187,187,TCK10186,22006.13,2026-07-08
188,188,TCK10187,12830.37,2026-08-08
189,189,TCK10188,5260.4,2026-07-10
190,190,TCK10189,8855.42,2026-08-27
191,191,TCK10190,6564.12,2026-07-05
192,192,TCK10191,13620.51,2026-07-24
193,193,TCK10192,23036.18,2026-07-14
194,194,TCK10193,11293.0,2026-08-01
195,195,TCK10194,20397.43,2026-07-27
196,196,TCK10195,4155.46,2026-08-10
197,197,TCK10196,4217.04,2026-08-13
198,198,TCK10197,11947.91,2026-08-26
199,199,TCK10198,9555.66,2026-08-28
200,200,TCK10199,12644.77,2026-07-11
201,201,TCK10200,6545.64,2026-07-01
202,202,TCK10201,22831.86,2026-08-12
203,203,TCK10202,15264.11,2026-08-08
204,204,TCK10203,21733.2,2026-07-08
205,205,TCK10204,24458.11,2026-07-23
206,206,TCK10205,13388.0,2026-08-09
207,207,TCK10206,15999.84,2026-07-01
208,208,TCK10207,6063.74,2026-08-17
209,209,TCK10208,8226.27,2026-07-08
210,210,TCK10209,6839.02,2026-07-02
211,211,TCK10210,14558.97,2026-08-03
212,212,TCK10211,14014.26,2026-07-10
213,213,TCK10212,7366.9,2026-07-24
214,214,TCK10213,5082.74,2026-07-14
215,215,TCK10214,3163.7,2026-07-09
216,216,TCK10215,7444.63,2026-08-16
217,217,TCK10216,18061.04,2026-07-09
218,218,TCK10217,8520.79,2026-07-31
219,219,TCK10218,6982.84,2026-07-06
220,220,TCK10219,10342.45,2026-08-05
221,221,TCK10220,17168.3,2026-07-30
222,222,TCK10221,19266.88,2026-08-01
223,223,TCK10222,12311.39,2026-08-30
224,224,TCK10223,11498.7,2026-07-13
225,225,TCK10224,8127.1,2026-07-13
226,226,TCK10225,17958.79,2026-08-26
227,227,TCK10226,18641.41,2026-07-26
228,228,TCK10227,4815.13,2026-08-20
229,229,TCK10228,19745.1,2026-07-20
230,230,TCK10229,6227.2,2026-07-14
231,231,TCK10230,23959.65,2026-08-01
232,232,TCK10231,12253.11,2026-07-29
233,233,TCK10232,12034.09,2026-08-17
234,234,TCK10233,8612.66,2026-07-21
235,235,TCK10234,16515.5,2026-08-08
236,236,TCK10235,11118.53,2026-07-13
237,237,TCK10236,15260.7,2026-07-24
238,238,TCK10237,22702.63,2026-08-22
239,239,TCK10238,3945.99,2026-07-11
240,240,TCK10239,22512.62,2026-08-02
241,241,TCK10240,8193.93,2026-07-27
242,242,TCK10241,9103.15,2026-08-22
243,243,TCK10242,22238.17,2026-08-30
244,244,TCK10243,24215.77,2026-07-23
245,245,TCK10244,11461.9,2026-07-08
246,246,TCK10245,6547.85,2026-07-21
247,247,TCK10246,12161.2,2026-07-12
248,248,TCK10247,10549.25,2026-07-05
249,249,TCK10248,7341.64,2026-07-24
250,250,TCK10249,10869.2,2026-08-19
251,251,TCK10250,9575.19,2026-07-01
252,252,TCK10251,9668.26,2026-07-01
253,253,TCK10252,18628.06,2026-07-14
254,254,TCK10253,12970.97,2026-08-20
255,255,TCK10254,9735.13,2026-07-15
256,256,TCK10255,15136.91,2026-07-25
257,257,TCK10256,8881.32,2026-07-14
258,258,TCK10257,14363.4,2026-07-07
259,259,TCK10258,15121.57,2026-08-15
260,260,TCK10259,16177.85,2026-08-26
261,261,TCK10260,20667.1,2026-08-12
262,262,TCK10261,4183.54,2026-08-27
263,263,TCK10262,17041.08,2026-08-13
264,264,TCK10263,19514.53,2026-07-21
265,265,TCK10264,20801.38,2026-07-13
266,266,TCK10265,6935.27,2026-08-21
267,267,TCK10266,13613.52,2026-07-03
268,268,TCK10267,24780.84,2026-07-27
269,269,TCK10268,5183.33,2026-07-29
270,270,TCK10269,6350.64,2026-07-21
271,271,TCK10270,15801.35,2026-07-16
272,272,TCK10271,15469.31,2026-07-19
273,273,TCK10272,2901.32,2026-08-20
274,274,TCK10273,21762.32,2026-07-01
275,275,TCK10274,23011.97,2026-07-19
276,276,TCK10275,5448.81,2026-07-26
277,277,TCK10276,3332.68,2026-08-04
278,278,TCK10277,23155.78,2026-07-03
279,279,TCK10278,10091.27,2026-07-02
280,280,TCK10279,4062.72,2026-07-07
281,281,TCK10280,21171.63,2026-07-27
282,282,TCK10281,18773.21,2026-07-18
283,283,TCK10282,9636.77,2026-07-23
284,284,TCK10283,11507.75,2026-08-05
285,285,TCK10284,19928.8,2026-08-01
286,286,TCK10285,16277.21,2026-07-26
287,287,TCK10286,9214.99,2026-07-30
288,288,TCK10287,13600.07,2026-08-11
289,289,TCK10288,24260.93,2026-07-08
290,290,TCK10289,21469.2,2026-08-30
291,291,TCK10290,16404.48,2026-07-02
292,292,TCK10291,7540.32,2026-08-22
293,293,TCK10292,2733.91,2026-07-07
294,294,TCK10293,24854.66,2026-08-25
295,295,TCK10294,17970.98,2026-07-28
296,296,TCK10295,7592.68,2026-07-06
297,297,TCK10296,6801.09,2026-08-27
298,298,TCK10297,20776.34,2026-08-22
299,299,TCK10298,22814.81,2026-07-01
300,300,TCK10299,23517.48,2026-08-25
301,301,TCK10300,3681.05,2026-08-26
302,302,TCK10301,20161.24,2026-07-08
303,303,TCK10302,3580.08,2026-07-20
304,304,TCK10303,4188.45,2026-07-22
305,305,TCK10304,17978.24,2026-08-20
306,306,TCK10305,20780.92,2026-07-18
307,307,TCK10306,18219.96,2026-08-29
308,308,TCK10307,5599.67,2026-07-30
309,309,TCK10308,5197.78,2026-07-21
310,310,TCK10309,21892.64,2026-08-18
311,311,TCK10310,15642.93,2026-08-24
312,312,TCK10311,24231.32,2026-07-27
313,313,TCK10312,16830.33,2026-08-12
314,314,TCK10313,5253.4,2026-08-03
315,315,TCK10314,7911.78,2026-07-31
316,316,TCK10315,17378.55,2026-07-18
317,317,TCK10316,9743.01,2026-08-16
318,318,TCK10317,13360.89,2026-07-06
319,319,TCK10318,8435.77,2026-07-19
320,320,TCK10319,18506.08,2026-07-23
321,321,TCK10320,15066.59,2026-08-25
322,322,TCK10321,7953.47,2026-08-11
323,323,TCK10322,19043.54,2026-07-14
324,324,TCK10323,18136.71,2026-07-05
325,325,TCK10324,24364.72,2026-07-04
326,326,TCK10325,7280.7,2026-08-12
327,327,TCK10326,7363.05,2026-08-22
328,328,TCK10327,11163.86,2026-08-01
329,329,TCK10328,4852.03,2026-07-14
330,330,TCK10329,20814.9,2026-08-18
331,331,TCK10330,14372.0,2026-08-24
332,332,TCK10331,9550.58,2026-08-30
333,333,TCK10332,9516.07,2026-07-30
334,334,TCK10333,17244.01,2026-08-24
335,335,TCK10334,13851.51,2026-08-28
336,336,TCK10335,5426.36,2026-08-28
337,337,TCK10336,10681.99,2026-07-29
338,338,TCK10337,22026.82,2026-08-02
339,339,TCK10338,7067.97,2026-07-26
340,340,TCK10339,6728.95,2026-07-18
341,341,TCK10340,12019.61,2026-08-13
342,342,TCK10341,9410.8,2026-08-25
343,343,TCK10342,15487.95,2026-07-07
344,344,TCK10343,5814.02,2026-08-26
345,345,TCK10344,4911.4,2026-07-08
346,346,TCK10345,7912.66,2026-08-27
347,347,TCK10346,12869.05,2026-07-18
348,348,TCK10347,3143.19,2026-08-12
349,349,TCK10348,14444.92,2026-07-23
350,350,TCK10349,8475.52,2026-08-29
351,351,TCK10350,14881.85,2026-07-23
352,352,TCK10351,12208.16,2026-07-10
353,353,TCK10352,11430.88,2026-07-28
354,354,TCK10353,13928.35,2026-07-04
355,355,TCK10354,12430.16,2026-07-24
356,356,TCK10355,4700.79,2026-08-11
357,357,TCK10356,11106.76,2026-08-29
358,358,TCK10357,12008.24,2026-07-19
359,359,TCK10358,6762.62,2026-07-12
360,360,TCK10359,15866.11,2026-08-03
361,361,TCK10360,16167.58,2026-08-03
362,362,TCK10361,12255.22,2026-08-13
363,363,TCK10362,3622.11,2026-07-16
364,364,TCK10363,24076.86,2026-07-15
365,365,TCK10364,5091.73,2026-08-27
366,366,TCK10365,3302.98,2026-07-18
367,367,TCK10366,7872.26,2026-08-04
368,368,TCK10367,4773.22,2026-07-15
369,369,TCK10368,22358.51,2026-08-14
370,370,TCK10369,18606.02,2026-07-26
371,371,TCK10370,11339.92,2026-07-15
372,372,TCK10371,19013.3,2026-08-26
373,373,TCK10372,18062.89,2026-08-01
374,374,TCK10373,7128.37,2026-08-20
375,375,TCK10374,7080.45,2026-08-10
376,376,TCK10375,8979.83,2026-08-08
377,377,TCK10376,8979.52,2026-07-01
378,378,TCK10377,4620.46,2026-08-02
379,379,TCK10378,22925.1,2026-08-09
380,380,TCK10379,13227.06,2026-07-20
381,381,TCK10380,21682.69,2026-08-14
382,382,TCK10381,7868.94,2026-07-21
383,383,TCK10382,17832.46,2026-07-11
384,384,TCK10383,6715.25,2026-08-27
385,385,TCK10384,12742.37,2026-07-01
386,386,TCK10385,17485.71,2026-07-28
387,387,TCK10386,10016.22,2026-07-12
388,388,TCK10387,24423.34,2026-08-26
389,389,TCK10388,4231.98,2026-08-13
390,390,TCK10389,19605.87,2026-07-01
391,391,TCK10390,15865.12,2026-07-31
392,392,TCK10391,15621.07,2026-08-01
393,393,TCK10392,22147.42,2026-07-31
394,394,TCK10393,4961.18,2026-08-22
395,395,TCK10394,2891.29,2026-08-13
396,396,TCK10395,24784.29,2026-08-23
397,397,TCK10396,7636.47,2026-08-02
398,398,TCK10397,6264.36,2026-07-10
399,399,TCK10398,19943.27,2026-07-07
400,400,TCK10399,9353.55,2026-08-17
401,401,TCK10400,10052.74,2026-08-01
402,402,TCK10401,19033.34,2026-08-04
403,403,TCK10402,8290.14,2026-08-01
404,404,TCK10403,8204.58,2026-07-30
405,405,TCK10404,2805.12,2026-07-23
406,406,TCK10405,9275.52,2026-07-22
407,407,TCK10406,22555.88,2026-08-19
408,408,TCK10407,17438.58,2026-08-25
409,409,TCK10408,22798.75,2026-08-08
410,410,TCK10409,13397.98,2026-07-18
411,411,TCK10410,17930.14,2026-08-16
412,412,TCK10411,16895.51,2026-07-10
413,413,TCK10412,24519.34,2026-08-24
414,414,TCK10413,7455.75,2026-07-10
415,415,TCK10414,10536.87,2026-07-02
416,416,TCK10415,7998.28,2026-08-17
417,417,TCK10416,18155.64,2026-07-28
418,418,TCK10417,10586.95,2026-08-17
419,419,TCK10418,4508.66,2026-08-28
420,420,TCK10419,23983.32,2026-08-10
421,421,TCK10420,4928.46,2026-07-18
422,422,TCK10421,22235.74,2026-08-13
423,423,TCK10422,14760.62,2026-08-28
424,424,TCK10423,12608.56,2026-08-26
425,425,TCK10424,14355.4,2026-07-17
426,426,TCK10425,22982.37,2026-07-23
427,427,TCK10426,22479.89,2026-07-26
428,428,TCK10427,15755.83,2026-08-30
429,429,TCK10428,24863.73,2026-07-20
430,430,TCK10429,6787.88,2026-08-07
431,431,TCK10430,14201.75,2026-07-22
432,432,TCK10431,21268.86,2026-07-08
433,433,TCK10432,12252.84,2026-07-30
434,434,TCK10433,15249.9,2026-08-20
435,435,TCK10434,20327.66,2026-07-19
436,436,TCK10435,4979.29,2026-07-01
437,437,TCK10436,13725.86,2026-08-13
438,438,TCK10437,5810.45,2026-08-13
439,439,TCK10438,5880.12,2026-07-19
440,440,TCK10439,16535.39,2026-08-12
441,441,TCK10440,6158.65,2026-08-01
442,442,TCK10441,8985.85,2026-08-21
443,443,TCK10442,9131.35,2026-07-30
444,444,TCK10443,3421.44,2026-07-19
445,445,TCK10444,21073.09,2026-07-08
446,446,TCK10445,3696.85,2026-07-20
447,447,TCK10446,2614.53,2026-07-23
448,448,TCK10447,17355.7,2026-07-01
449,449,TCK10448,3622.8,2026-07-09
450,450,TCK10449,10379.91,2026-07-19
451,451,TCK10450,20168.42,2026-08-02
452,452,TCK10451,17469.83,2026-08-19
453,453,TCK10452,15116.86,2026-07-06
454,454,TCK10453,18546.93,2026-07-10
455,455,TCK10454,24908.07,2026-07-13
456,456,TCK10455,12221.14,2026-08-28
457,457,TCK10456,4316.15,2026-07-15
458,458,TCK10457,3223.08,2026-08-29
459,459,TCK10458,10479.23,2026-08-21
460,460,TCK10459,17766.26,2026-07-25
461,461,TCK10460,12007.67,2026-08-27
462,462,TCK10461,4708.12,2026-07-17
463,463,TCK10462,23204.37,2026-08-08
464,464,TCK10463,9491.56,2026-08-06
465,465,TCK10464,12305.87,2026-08-26
466,466,TCK10465,9755.8,2026-08-07
467,467,TCK10466,5631.47,2026-08-19
468,468,TCK10467,6988.9,2026-07-09
469,469,TCK10468,11867.03,2026-07-13
470,470,TCK10469,9273.9,2026-07-06
471,471,TCK10470,9190.02,2026-08-29
472,472,TCK10471,16637.17,2026-08-04
473,473,TCK10472,6625.87,2026-08-20
474,474,TCK10473,22208.23,2026-07-28
475,475,TCK10474,4660.95,2026-08-03
476,476,TCK10475,12442.78,2026-07-21
477,477,TCK10476,13835.84,2026-08-13
478,478,TCK10477,18533.47,2026-07-30
479,479,TCK10478,10469.36,2026-07-30
480,480,TCK10479,11961.38,2026-07-27
481,481,TCK10480,12878.89,2026-08-28
482,482,TCK10481,15075.45,2026-08-19
483,483,TCK10482,11970.67,2026-08-18
484,484,TCK10483,5663.18,2026-08-28
485,485,TCK10484,9303.77,2026-07-16
486,486,TCK10485,15557.25,2026-07-24
487,487,TCK10486,5363.68,2026-08-04
488,488,TCK10487,22748.03,2026-08-26
489,489,TCK10488,9100.22,2026-08-18
490,490,TCK10489,21514.92,2026-07-09
491,491,TCK10490,11566.2,2026-07-01
492,492,TCK10491,12913.18,2026-08-18
493,493,TCK10492,22185.49,2026-07-30
494,494,TCK10493,21381.96,2026-07-06
495,495,TCK10494,3730.59,2026-08-23
496,496,TCK10495,24688.9,2026-07-07
497,497,TCK10496,10003.38,2026-07-07
498,498,TCK10497,20993.65,2026-08-06
499,499,TCK10498,13333.03,2026-07-22
500,500,TCK10499,21947.07,2026-07-08
501,501,TCK10500,19160.64,2026-08-13
502,502,TCK10501,13993.47,2026-08-15
503,503,TCK10502,3692.96,2026-07-14
504,504,TCK10503,14115.94,2026-08-05
505,505,TCK10504,19159.54,2026-08-01
506,506,TCK10505,5569.06,2026-08-27
507,507,TCK10506,17702.82,2026-08-24
508,508,TCK10507,5982.45,2026-08-10
509,509,TCK10508,9495.04,2026-08-29
510,510,TCK10509,2645.14,2026-08-01
511,511,TCK10510,16532.44,2026-07-13
512,512,TCK10511,5080.95,2026-07-01
513,513,TCK10512,5943.0,2026-08-26
514,514,TCK10513,5223.27,2026-07-07
515,515,TCK10514,8062.14,2026-07-07
516,516,TCK10515,13159.2,2026-08-23
517,517,TCK10516,13880.6,2026-07-26
518,518,TCK10517,3752.2,2026-07-08
519,519,TCK10518,9248.28,2026-07-31
520,520,TCK10519,24610.67,2026-08-22
521,521,TCK10520,7785.88,2026-08-24
522,522,TCK10521,14801.18,2026-08-22
523,523,TCK10522,16287.1,2026-07-29
524,524,TCK10523,21834.56,2026-08-09
525,525,TCK10524,5271.92,2026-07-10
526,526,TCK10525,16814.44,2026-07-12
527,527,TCK10526,5687.94,2026-08-17
528,528,TCK10527,17292.97,2026-07-11
529,529,TCK10528,14009.09,2026-08-14
530,530,TCK10529,14800.32,2026-07-31
531,531,TCK10530,13310.5,2026-07-19
532,532,TCK10531,17519.55,2026-08-07
533,533,TCK10532,13591.69,2026-08-12
534,534,TCK10533,8691.58,2026-07-25
535,535,TCK10534,18197.19,2026-07-07
536,536,TCK10535,12939.18,2026-08-22
537,537,TCK10536,12058.74,2026-07-02
538,538,TCK10537,8877.0,2026-07-08
539,539,TCK10538,15194.7,2026-07-01
540,540,TCK10539,15562.11,2026-07-03
541,541,TCK10540,17014.95,2026-08-27
542,542,TCK10541,17286.81,2026-07-29
543,543,TCK10542,3459.22,2026-08-28
544,544,TCK10543,10481.35,2026-07-09
545,545,TCK10544,13027.91,2026-08-16
546,546,TCK10545,12812.88,2026-07-01
547,547,TCK10546,24589.46,2026-07-23
548,548,TCK10547,13764.36,2026-08-25
549,549,TCK10548,13822.13,2026-07-23
550,550,TCK10549,22807.39,2026-08-03
551,551,TCK10550,11289.05,2026-07-05
552,552,TCK10551,6426.18,2026-07-10
553,553,TCK10552,10417.01,2026-08-16
554,554,TCK10553,15170.82,2026-07-30
555,555,TCK10554,18591.6,2026-08-20
556,556,TCK10555,5650.88,2026-08-20
557,557,TCK10556,19658.67,2026-07-20
558,558,TCK10557,23278.23,2026-07-05
559,559,TCK10558,23113.6,2026-08-11
560,560,TCK10559,13384.25,2026-07-31
561,561,TCK10560,16131.44,2026-07-12
562,562,TCK10561,15460.88,2026-08-29
563,563,TCK10562,13907.06,2026-08-12
564,564,TCK10563,14322.26,2026-07-09
565,565,TCK10564,18199.8,2026-08-07
566,566,TCK10565,23991.88,2026-07-23
567,567,TCK10566,15651.1,2026-08-23
568,568,TCK10567,11584.91,2026-07-03
569,569,TCK10568,3164.24,2026-08-16
570,570,TCK10569,6081.54,2026-07-07
571,571,TCK10570,17468.37,2026-08-01
572,572,TCK10571,23520.26,2026-07-31
573,573,TCK10572,9782.34,2026-07-15
574,574,TCK10573,24579.89,2026-08-21
575,575,TCK10574,23138.54,2026-08-20
576,576,TCK10575,7823.89,2026-08-27
577,577,TCK10576,22317.0,2026-08-16
578,578,TCK10577,22580.64,2026-08-18
579,579,TCK10578,24399.69,2026-08-29
580,580,TCK10579,3948.32,2026-08-09
581,581,TCK10580,8135.89,2026-07-03
582,582,TCK10581,21553.04,2026-07-05
583,583,TCK10582,12434.39,2026-07-24
584,584,TCK10583,16147.0,2026-08-23
585,585,TCK10584,3162.84,2026-07-12
586,586,TCK10585,9726.08,2026-08-14
587,587,TCK10586,12613.97,2026-07-09
588,588,TCK10587,24749.59,2026-08-06
589,589,TCK10588,15020.53,2026-07-13
590,590,TCK10589,8181.14,2026-07-29
591,591,TCK10590,17774.1,2026-07-15
592,592,TCK10591,7026.84,2026-07-11
593,593,TCK10592,12266.42,2026-08-03
594,594,TCK10593,20695.12,2026-07-13
595,595,TCK10594,4435.41,2026-07-02
596,596,TCK10595,16655.1,2026-08-12
597,597,TCK10596,4664.64,2026-07-03
598,598,TCK10597,20725.2,2026-08-27
599,599,TCK10598,2617.82,2026-08-19
600,600,TCK10599,11680.62,2026-08-04
601,601,TCK10600,21951.05,2026-07-22
602,602,TCK10601,6669.35,2026-08-16
603,603,TCK10602,24049.23,2026-08-16
604,604,TCK10603,16950.23,2026-08-01
605,605,TCK10604,6778.08,2026-07-14
606,606,TCK10605,15333.33,2026-07-31
607,607,TCK10606,13769.13,2026-07-23
608,608,TCK10607,16415.77,2026-08-05
609,609,TCK10608,21701.99,2026-08-21
610,610,TCK10609,4010.98,2026-07-28
611,611,TCK10610,16573.09,2026-08-25
612,612,TCK10611,4094.52,2026-07-06
613,613,TCK10612,5361.83,2026-08-03
614,614,TCK10613,9210.11,2026-07-08
